OfficiCardNo	OfficiCardType	status	VehPlate	FreeType	FreeRoadList	Version	StartTime	EndTime	Spare
001347	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001354	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001362	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001370	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001388	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001396	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001404	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001412	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001420	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001438	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001446	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001453	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001461	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001479	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001487	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001495	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001503	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001511	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001529	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001537	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001545	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001552	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001560	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001578	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001586	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001594	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001602	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001610	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001628	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001636	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001644	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001669	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001677	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001693	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001701	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001719	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001727	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001735	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001743	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001750	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001768	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001776	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001784	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001792	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001800	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001818	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001826	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001834	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001842	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001859	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001867	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001875	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001883	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001891	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001909	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001917	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001925	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001933	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001941	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001958	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001966	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001974	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001982	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001990	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002006	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002014	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002022	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002030	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002048	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002055	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002063	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002071	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002089	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002097	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002105	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002113	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002121	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002139	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002147	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002154	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002162	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002170	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002188	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002196	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002204	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002220	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002238	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002246	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002253	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002279	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002295	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002329	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002337	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002345	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002352	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002360	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002378	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002386	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002394	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002402	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002410	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
