EnRoadId	EnStationId	ExRoadId	ExStationId	VehType	PassType	PassRoadUniqueId	RoadUniqueIdForBridge	PassBridgeId	Miles	Distance	Version	RoadStdVer	BridgeExtVer	TravelTime	StartTime	Spare1	Spare2	Spare3	Spare4
6	34	49	14	2	2	0	6	2	1	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	2	0	9	8	1	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	3	0	0	59.79	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	5	0	0	158.697	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	6	0	0	101.6327	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	9	0	0	40.742	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	21	0	0	23.164	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	27	0	0	73.083	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	29	0	0	9.227	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	43	0	0	11.348	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	1	61	0	0	41.3946	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	2	0	3	1	1	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	2	0	6	2	1	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	35	49	14	2	2	0	9	8	1	519.0783	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	3	0	0	59.79	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	5	0	0	158.697	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	6	0	0	101.6327	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	9	0	0	40.742	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	21	0	0	23.164	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	27	0	0	73.083	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	29	0	0	9.227	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	43	0	0	11.348	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	1	61	0	0	29.9652	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	2	0	3	1	1	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	2	0	6	2	1	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	36	49	14	2	2	0	9	8	1	507.6489	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	3	0	0	59.79	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	5	0	0	158.697	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	6	0	0	101.6327	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	9	0	0	40.742	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	21	0	0	23.164	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	27	0	0	73.083	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	29	0	0	9.227	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	43	0	0	11.348	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	1	61	0	0	22.4812	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	2	0	3	1	1	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	2	0	6	2	1	500.1649	13	13	13	0	2016-04-28 00:00:00				
6	37	49	14	2	2	0	9	8	1	500.1649	13	13	13	0	2016-04-28 00:00:00				
7	70	49	14	2	1	3	0	0	4.482	88.963	13	13	13	0	2016-04-28 00:00:00				
7	70	49	14	2	1	9	0	0	40.742	88.963	13	13	13	0	2016-04-28 00:00:00				
7	70	49	14	2	1	21	0	0	23.164	88.963	13	13	13	0	2016-04-28 00:00:00				
7	70	49	14	2	1	29	0	0	9.227	88.963	13	13	13	0	2016-04-28 00:00:00				
7	70	49	14	2	1	43	0	0	11.348	88.963	13	13	13	0	2016-04-28 00:00:00				
7	70	49	14	2	2	0	9	8	1	88.963	13	13	13	0	2016-04-28 00:00:00				
7	71	49	14	2	1	3	0	0	20.49	104.971	13	13	13	0	2016-04-28 00:00:00				
7	71	49	14	2	1	9	0	0	40.742	104.971	13	13	13	0	2016-04-28 00:00:00				
7	71	49	14	2	1	21	0	0	23.164	104.971	13	13	13	0	2016-04-28 00:00:00				
7	71	49	14	2	1	29	0	0	9.227	104.971	13	13	13	0	2016-04-28 00:00:00				
7	71	49	14	2	1	43	0	0	11.348	104.971	13	13	13	0	2016-04-28 00:00:00				
7	71	49	14	2	2	0	9	8	1	104.971	13	13	13	0	2016-04-28 00:00:00				
7	72	49	14	2	1	3	0	0	38.562	123.043	13	13	13	0	2016-04-28 00:00:00				
7	72	49	14	2	1	9	0	0	40.742	123.043	13	13	13	0	2016-04-28 00:00:00				
7	72	49	14	2	1	21	0	0	23.164	123.043	13	13	13	0	2016-04-28 00:00:00				
7	72	49	14	2	1	29	0	0	9.227	123.043	13	13	13	0	2016-04-28 00:00:00				
7	72	49	14	2	1	43	0	0	11.348	123.043	13	13	13	0	2016-04-28 00:00:00				
7	72	49	14	2	2	0	9	8	1	123.043	13	13	13	0	2016-04-28 00:00:00				
7	73	49	14	2	1	3	0	0	53.757	138.238	13	13	13	0	2016-04-28 00:00:00				
7	73	49	14	2	1	9	0	0	40.742	138.238	13	13	13	0	2016-04-28 00:00:00				
7	73	49	14	2	1	21	0	0	23.164	138.238	13	13	13	0	2016-04-28 00:00:00				
7	73	49	14	2	1	29	0	0	9.227	138.238	13	13	13	0	2016-04-28 00:00:00				
7	73	49	14	2	1	43	0	0	11.348	138.238	13	13	13	0	2016-04-28 00:00:00				
7	73	49	14	2	2	0	9	8	1	138.238	13	13	13	0	2016-04-28 00:00:00				
7	89	49	14	2	1	3	0	0	11.58	96.061	13	13	13	0	2016-04-28 00:00:00				
7	89	49	14	2	1	9	0	0	40.742	96.061	13	13	13	0	2016-04-28 00:00:00				
7	89	49	14	2	1	21	0	0	23.164	96.061	13	13	13	0	2016-04-28 00:00:00				
7	89	49	14	2	1	29	0	0	9.227	96.061	13	13	13	0	2016-04-28 00:00:00				
7	89	49	14	2	1	43	0	0	11.348	96.061	13	13	13	0	2016-04-28 00:00:00				
7	89	49	14	2	2	0	9	8	1	96.061	13	13	13	0	2016-04-28 00:00:00				
7	90	49	14	2	1	3	0	0	9.11	93.591	13	13	13	0	2016-04-28 00:00:00				
7	90	49	14	2	1	9	0	0	40.742	93.591	13	13	13	0	2016-04-28 00:00:00				
7	90	49	14	2	1	21	0	0	23.164	93.591	13	13	13	0	2016-04-28 00:00:00				
7	90	49	14	2	1	29	0	0	9.227	93.591	13	13	13	0	2016-04-28 00:00:00				
7	90	49	14	2	1	43	0	0	11.348	93.591	13	13	13	0	2016-04-28 00:00:00				
7	90	49	14	2	2	0	9	8	1	93.591	13	13	13	0	2016-04-28 00:00:00				
7	91	49	14	2	1	3	0	0	8.406	92.887	13	13	13	0	2016-04-28 00:00:00				
7	91	49	14	2	1	9	0	0	40.742	92.887	13	13	13	0	2016-04-28 00:00:00				
7	91	49	14	2	1	21	0	0	23.164	92.887	13	13	13	0	2016-04-28 00:00:00				
7	91	49	14	2	1	29	0	0	9.227	92.887	13	13	13	0	2016-04-28 00:00:00				
7	91	49	14	2	1	43	0	0	11.348	92.887	13	13	13	0	2016-04-28 00:00:00				
7	91	49	14	2	2	0	9	8	1	92.887	13	13	13	0	2016-04-28 00:00:00				
8	31	49	14	2	1	21	0	0	100.629	196.9413	13	13	13	0	2016-04-28 00:00:00				
8	31	49	14	2	1	29	0	0	9.227	196.9413	13	13	13	0	2016-04-28 00:00:00				
8	31	49	14	2	1	43	0	0	11.348	196.9413	13	13	13	0	2016-04-28 00:00:00				
8	31	49	14	2	1	47	0	0	45.6935	196.9413	13	13	13	0	2016-04-28 00:00:00				
8	31	49	14	2	1	59	0	0	29.0638	196.9413	13	13	13	0	2016-04-28 00:00:00				
8	31	49	14	2	1	62	0	0	0.98	196.9413	13	13	13	0	2016-04-28 00:00:00				
8	32	49	14	2	1	21	0	0	100.629	196.4779	13	13	13	0	2016-04-28 00:00:00				
8	32	49	14	2	1	29	0	0	9.227	196.4779	13	13	13	0	2016-04-28 00:00:00				
8	32	49	14	2	1	43	0	0	11.348	196.4779	13	13	13	0	2016-04-28 00:00:00				
8	32	49	14	2	1	47	0	0	69.4589	196.4779	13	13	13	0	2016-04-28 00:00:00				
8	32	49	14	2	1	62	0	0	5.815	196.4779	13	13	13	0	2016-04-28 00:00:00				
9	1	49	14	2	1	2	0	0	0.523	47.9079	13	13	13	0	2016-04-28 00:00:00				
9	1	49	14	2	1	13	0	0	13.12	47.9079	13	13	13	0	2016-04-28 00:00:00				
9	1	49	14	2	1	29	0	0	32.5239	47.9079	13	13	13	0	2016-04-28 00:00:00				
9	1	49	14	2	1	64	0	0	1.741	47.9079	13	13	13	0	2016-04-28 00:00:00				
9	2	49	14	2	1	2	0	0	0.523	55.1599	13	13	13	0	2016-04-28 00:00:00				
9	2	49	14	2	1	13	0	0	13.12	55.1599	13	13	13	0	2016-04-28 00:00:00				
9	2	49	14	2	1	29	0	0	32.5239	55.1599	13	13	13	0	2016-04-28 00:00:00				
9	2	49	14	2	1	64	0	0	8.993	55.1599	13	13	13	0	2016-04-28 00:00:00				
9	3	49	14	2	1	2	0	0	0.523	60.1249	13	13	13	0	2016-04-28 00:00:00				
9	3	49	14	2	1	13	0	0	13.12	60.1249	13	13	13	0	2016-04-28 00:00:00				
9	3	49	14	2	1	29	0	0	32.5239	60.1249	13	13	13	0	2016-04-28 00:00:00				
9	3	49	14	2	1	64	0	0	13.958	60.1249	13	13	13	0	2016-04-28 00:00:00				
9	4	49	14	2	1	2	0	0	0.523	72.0209	13	13	13	0	2016-04-28 00:00:00				
9	4	49	14	2	1	13	0	0	13.12	72.0209	13	13	13	0	2016-04-28 00:00:00				
9	4	49	14	2	1	29	0	0	32.5239	72.0209	13	13	13	0	2016-04-28 00:00:00				
9	4	49	14	2	1	64	0	0	25.854	72.0209	13	13	13	0	2016-04-28 00:00:00				
9	5	49	14	2	1	4	0	0	0.396	69.5593	13	13	13	0	2016-04-28 00:00:00				
9	5	49	14	2	1	13	0	0	11.897	69.5593	13	13	13	0	2016-04-28 00:00:00				
9	5	49	14	2	1	29	0	0	17.0989	69.5593	13	13	13	0	2016-04-28 00:00:00				
9	5	49	14	2	1	64	0	0	5.24	69.5593	13	13	13	0	2016-04-28 00:00:00				
9	5	49	14	2	1	65	0	0	34.9274	69.5593	13	13	13	0	2016-04-28 00:00:00				
